latitude,longitude,cluster_id,price_spread
37.99527,23.76651,0,1.0499999999999972
37.97065,23.72931,19,-9.899999999999977
37.97506,23.73068,21,2.8000000000000114
37.97538,23.73264,21,6.300000000000011
37.96615,23.73463,9,1.1999999999999886
37.96688,23.75001,3,29.5
37.97587,23.73311,21,-1.3499999999999943
37.9793,23.73782,12,5.199999999999989
37.97708,23.74285,10,2.5999999999999943
37.96487,23.71852,19,40.85000000000002
37.9758,23.71656,5,-17.599999999999994
37.99923,23.7189,-1,-3.5999999999999943
37.97312,23.74912,3,-6.099999999999994
37.96538,23.74292,3,31.149999999999977
37.99268,23.72619,16,-4.150000000000006
37.97472,23.73228,21,-0.25
37.97739,23.7255,21,10.800000000000011
37.97683,23.72293,21,-13.849999999999994
37.97464,23.74885,3,-7.25
37.98119,23.75973,0,-8.900000000000006
37.95553,23.7164,-1,-13.25
37.97857,23.73031,21,-0.29999999999999716
37.98505,23.75485,-1,-4.400000000000006
37.96397,23.71912,19,25.099999999999994
37.97992,23.72914,21,-3.0
37.98262,23.71893,20,-9.400000000000006
38.00366,23.72886,6,-21.849999999999994
37.98131,23.71987,20,-9.049999999999997
37.98633,23.71871,11,-2.799999999999997
37.98729,23.71923,11,1.5499999999999972
38.00282,23.73032,6,-10.400000000000006
37.99824,23.77067,-1,20.75
37.97694,23.72984,21,2.8000000000000114
37.9836659,23.7608038,0,-0.05000000000001137
37.96726,23.73935,-1,3.549999999999997
37.96671,23.73459,9,0.15000000000000568
37.97855,23.72352,21,1.5
37.99866,23.72045,-1,-7.099999999999994
37.97486,23.72639,21,-1.2000000000000028
37.97777938842773,23.73192024230957,21,-4.400000000000006
37.973023,23.7194696,5,15.150000000000006
37.96151,23.74315,-1,10.5
37.96342,23.72027,19,3.8499999999999943
37.96408081054688,23.71773338317871,19,65.19999999999999
37.97873,23.70794,-1,7.5
37.98404,23.7233,20,-30.150000000000006
37.97686,23.72573,21,1.3499999999999943
37.97148,23.73204,19,12.5
37.98315,23.71739,18,-32.55000000000001
37.9673154,23.7262569,19,2.5500000000000114
37.96622,23.7318,19,-29.80000000000001
37.96397,23.71963,19,1.5500000000000114
37.96276,23.72078,19,3.4499999999999886
37.96674,23.73673,9,-3.8000000000000114
37.97061,23.71028,4,-2.549999999999997
37.96597,23.74498,3,8.849999999999994
37.96653,23.75432,3,4.949999999999989
37.97921,23.74429,10,2.4000000000000057
37.99887,23.73926,-1,-3.3500000000000014
37.97508,23.71642,5,-17.25
37.98632,23.73165,13,-7.400000000000006
37.97733,23.75653,1,0.8500000000000227
37.9613,23.73097,-1,-10.099999999999994
37.97952,23.71003,-1,8.649999999999977
37.97408,23.73294,21,0.8000000000000114
37.99632,23.73295,17,-27.69999999999999
37.99833,23.73512,6,-2.25
37.955841064453125,23.720029830932617,-1,-2.5
37.96708,23.75116,3,-4.099999999999994
37.97916,23.72477,21,1.3499999999999943
37.98998,23.73564,7,-0.3499999999999943
37.96982,23.74502,3,-0.3499999999999943
37.9942,23.76685,0,-1.25
37.96440887451172,23.71636962890625,-1,72.69999999999999
37.97355,23.71488,5,-11.0
37.9773,23.72542,21,0.44999999999998863
37.96377,23.71753,19,23.30000000000001
37.96455,23.72481,19,5.849999999999994
37.97619,23.73023,21,2.9499999999999886
37.96419,23.7255,19,8.050000000000011
37.95204,23.72404,-1,-5.100000000000023
37.99943,23.72058,-1,5.949999999999989
37.97345,23.71279,5,-6.949999999999989
37.96817,23.74492,3,-0.30000000000001137
