,property_type,room_type,accommodates,bathrooms,bedrooms,beds,latitude,longitude,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,review_scores_rating,number_of_reviews,minimum_nights,maximum_nights,instant_bookable,cluster_id,is_luxury,is_bathroom_shared,amenity_count,description_sentiment,neighborhood_overview_sentiment,listing_views_ltm,conversion_rate_ltm,average_lead_time,average_booking_duration,is_training_sample,price
36,rental_unit,Entire home/apt,2,1.0,0.0,1.0,37.97855,23.72352,within an hour,1.0,0.98,0,1,4.62,84,3,1125,1,21,0,0,22,-0.05075757575757576,0.159862012987013,72,0.0,,,1,115.0
37,rental_unit,Entire home/apt,5,1.0,1.0,1.0,37.99866,23.72045,a few days or more,0.0,1.0,0,1,4.54,108,10,1125,0,-1,0,0,33,0.024999999999999994,,101,0.039603960396039604,61.5,8.5,1,105.0
38,rental_unit,Entire home/apt,2,1.0,1.0,1.0,37.97486,23.72639,within an hour,1.0,1.0,1,1,4.94,578,2,1125,0,21,0,0,16,0.16666666666666666,,139,0.381294964028777,69.90566037735849,6.735849056603773,1,110.0
39,hotel,Private room,4,1.0,1.0,1.0,37.97777938842773,23.73192024230957,within an hour,1.0,1.0,0,1,4.76,92,1,1125,1,21,0,1,39,0.2047176308539945,0.25,61,0.0,,,1,225.0
40,condo,Entire home/apt,2,1.0,1.0,1.0,37.973023,23.7194696,within a few hours,1.0,1.0,,1,4.93,14,2,1125,1,5,0,0,40,0.17857142857142858,-0.05,83,0.0,,,1,120.0
41,rental_unit,Entire home/apt,5,1.0,2.0,5.0,37.96151,23.74315,within an hour,1.0,1.0,1,1,4.94,154,3,29,0,-1,0,0,56,0.43409523809523815,0.18333333333333335,81,0.12345679012345678,84.2,6.3,1,305.0
42,home,Entire home/apt,2,1.0,0.0,1.0,37.96342,23.72027,within an hour,1.0,1.0,1,1,4.96,233,1,60,1,19,0,0,39,0.21249999999999997,0.5125000000000001,95,0.18947368421052632,49.166666666666664,5.722222222222222,1,105.0
43,other,Entire home/apt,8,3.5,4.0,5.0,37.96408081054688,23.71773338317871,within an hour,1.0,0.99,1,1,4.94,144,2,30,1,19,1,0,53,0.021666666666666674,0.14857142857142858,113,0.1415929203539823,62.8125,8.0,1,520.0
44,condo,Entire home/apt,6,2.0,2.0,3.0,37.97873,23.70794,within an hour,0.95,0.93,0,1,4.68,287,1,1125,0,-1,0,0,40,0.18939393939393936,0.1947845804988662,79,0.06329113924050633,44.6,5.0,1,330.0
45,rental_unit,Entire home/apt,8,1.5,2.0,2.0,37.98404,23.7233,within an hour,1.0,0.11,0,1,4.46,24,1,1125,0,20,0,0,33,0.056423611111111084,0.1,75,0.0,,,1,170.0
46,rental_unit,Entire home/apt,2,1.0,1.0,1.0,37.97686,23.72573,within an hour,1.0,1.0,1,1,4.95,619,2,300,0,21,0,0,28,0.33055555555555555,0.0,139,0.3669064748201439,66.50980392156863,6.882352941176471,1,120.0
47,condo,Entire home/apt,4,2.0,2.0,2.0,37.97148,23.73204,within an hour,1.0,1.0,1,1,4.9,72,2,1125,1,19,0,0,45,0.14227272727272727,0.14333333333333334,101,0.12871287128712872,50.61538461538461,8.846153846153847,1,245.0
48,condo,Entire home/apt,6,1.5,3.0,4.0,37.98315,23.71739,within an hour,1.0,1.0,1,1,4.97,154,5,730,0,18,0,0,63,0.19292929292929292,,97,0.08247422680412371,57.875,6.625,1,165.0
49,condo,Entire home/apt,6,1.5,2.0,3.0,37.9673154,23.7262569,within an hour,1.0,0.99,1,1,4.98,105,1,59,0,19,0,0,60,0.33999999999999997,0.27051282051282055,117,0.26495726495726496,53.41935483870968,7.032258064516129,1,260.0
50,rental_unit,Entire home/apt,6,2.0,2.0,4.0,37.96622,23.7318,within an hour,1.0,1.0,0,1,4.86,7,2,1125,1,19,0,0,18,0.2587912087912088,0.14042699724517907,92,0.0,,,1,175.0
51,rental_unit,Entire home/apt,4,1.5,2.0,2.0,37.96397,23.71963,within an hour,1.0,1.0,0,1,4.21,14,3,1125,1,19,0,0,47,0.09727272727272729,0.14284391534391533,67,0.0,,,1,200.0
52,rental_unit,Entire home/apt,4,1.0,1.0,1.0,37.96276,23.72078,,,,0,1,4.84,195,1,59,0,19,0,0,49,0.34895833333333337,0.18265151515151515,80,0.1125,59.55555555555556,9.555555555555555,1,200.0
53,rental_unit,Entire home/apt,4,1.0,1.0,2.0,37.96674,23.73673,within an hour,1.0,1.0,1,1,4.94,199,3,1125,1,9,0,0,55,0.21944444444444444,0.225,90,0.14444444444444443,80.0,6.230769230769231,1,215.0
54,rental_unit,Entire home/apt,2,1.0,1.0,1.0,37.97061,23.71028,within an hour,1.0,1.0,0,1,4.53,379,1,1125,1,4,0,0,31,0.13392857142857145,0.29583333333333334,104,0.23076923076923078,69.29166666666667,8.583333333333334,1,85.0
55,rental_unit,Entire home/apt,2,1.0,1.0,1.0,37.96597,23.74498,within an hour,1.0,1.0,0,1,5.0,12,2,1125,1,3,0,0,26,0.4600000000000001,0.4357142857142858,85,0.0,,,1,130.0
56,rental_unit,Entire home/apt,3,1.0,1.0,2.0,37.96653,23.75432,within an hour,1.0,1.0,0,1,4.78,9,2,1125,1,3,0,0,27,0.29285714285714287,0.3375,79,0.0,,,1,160.0
57,rental_unit,Entire home/apt,2,1.0,1.0,1.0,37.97921,23.74429,within a few hours,0.67,0.4,0,1,4.87,61,4,60,0,10,0,0,22,0.29254079254079257,,76,0.0,,,1,165.0
58,rental_unit,Entire home/apt,2,1.0,1.0,1.0,37.99887,23.73926,within an hour,1.0,1.0,1,1,4.81,74,2,1125,1,-1,0,0,32,0.075,,100,0.06,113.5,7.333333333333333,1,55.0
59,home,Entire home/apt,6,1.0,2.0,5.0,37.97508,23.71642,within an hour,1.0,0.99,1,1,4.78,225,2,1125,1,5,0,0,24,0.2056122448979592,0.2639814814814815,96,0.15625,68.86666666666666,7.466666666666667,1,210.0
60,rental_unit,Entire home/apt,3,2.0,2.0,,37.98632,23.73165,within an hour,1.0,1.0,1,1,4.91,137,2,299,0,13,0,0,67,0.3678571428571428,0.16354166666666667,87,0.13793103448275862,57.083333333333336,5.333333333333333,1,100.0
61,rental_unit,Entire home/apt,6,2.0,3.0,5.0,37.97733,23.75653,within an hour,1.0,0.64,1,1,5.0,6,5,1125,0,1,0,0,47,0.3892857142857143,0.3194999999999999,104,0.009615384615384616,41.0,2.0,1,325.0
62,condo,Entire home/apt,3,1.0,1.0,2.0,37.9613,23.73097,within an hour,1.0,1.0,1,1,4.83,578,1,1125,1,-1,0,0,49,0.11499999999999999,0.1393939393939394,117,0.3418803418803419,42.45,7.0,1,90.0
63,rental_unit,Entire home/apt,6,2.0,2.0,2.0,37.97952,23.71003,within an hour,0.95,0.93,0,1,4.64,168,1,1125,0,-1,0,0,43,0.16666666666666666,0.14727272727272728,84,0.03571428571428571,58.333333333333336,2.6666666666666665,1,315.0
64,rental_unit,Entire home/apt,4,1.0,2.0,4.0,37.97408,23.73294,within an hour,1.0,1.0,1,1,5.0,300,3,1125,0,21,0,0,41,0.06464646464646465,0.053872549019607856,128,0.25,95.03125,6.5,1,260.0
65,rental_unit,Entire home/apt,8,2.0,4.0,5.0,37.99632,23.73295,within a day,1.0,0.95,0,1,4.67,3,2,28,0,17,0,0,23,0.11759523809523809,0.29444444444444445,102,0.0,,,1,185.0
66,rental_unit,Private room,2,1.5,1.0,2.0,37.99833,23.73512,within an hour,1.0,1.0,0,1,4.71,120,1,1125,0,6,0,1,19,0.10666666666666666,0.14444444444444446,82,0.04878048780487805,110.0,5.5,1,50.0
67,rental_unit,Entire home/apt,2,1.0,1.0,1.0,37.955841064453125,23.720029830932617,within an hour,1.0,1.0,1,1,4.89,178,2,1125,0,-1,0,0,48,0.33035714285714285,0.3511363636363637,124,0.1774193548387097,49.68181818181818,5.863636363636363,1,80.0
68,rental_unit,Entire home/apt,3,1.0,1.0,2.0,37.96708,23.75116,,,0.5,0,1,5.0,3,6,90,0,3,0,0,14,0.42500000000000004,0.15625,86,0.0,,,1,145.0
69,rental_unit,Entire home/apt,4,1.0,0.0,2.0,37.97916,23.72477,within an hour,1.0,0.98,0,1,4.63,137,1,1125,1,21,0,0,31,0.22207792207792204,0.23200757575757575,98,0.05102040816326531,43.2,7.4,1,215.0
70,condo,Entire home/apt,2,1.0,1.0,1.0,37.98998,23.73564,within a few hours,1.0,1.0,0,1,4.84,106,1,364,1,7,0,0,48,0.22850378787878792,0.21349206349206348,84,0.03571428571428571,26.333333333333332,4.666666666666667,1,70.0
71,condo,Entire home/apt,2,1.0,1.0,1.0,37.96982,23.74502,within an hour,1.0,1.0,1,1,4.96,49,3,14,1,3,0,0,55,0.2148809523809524,0.10833333333333332,97,0.07216494845360824,46.285714285714285,6.285714285714286,1,95.0
72,rental_unit,Entire home/apt,5,2.0,2.0,3.0,37.9942,23.76685,,,0.0,0,1,4.9,20,1,1125,0,0,0,0,42,0.11666666666666665,0.016666666666666663,96,0.0,,,1,200.0
73,rental_unit,Entire home/apt,6,1.0,2.0,3.0,37.96440887451172,23.71636962890625,within an hour,1.0,1.0,,1,4.7,70,1,1125,1,-1,0,0,51,0.21666666666666665,0.19345238095238093,66,0.0,,,1,400.0
74,home,Entire home/apt,4,1.0,1.0,1.0,37.97355,23.71488,within an hour,1.0,1.0,,1,5.0,466,2,28,0,5,0,0,59,0.18171487603305783,0.1135416666666667,116,0.25,78.0,5.931034482758621,1,155.0
75,rental_unit,Entire home/apt,3,1.5,1.0,2.0,37.9773,23.72542,within an hour,1.0,0.98,1,1,4.91,322,2,15,0,21,0,0,36,-0.01893939393939394,0.2527972027972028,104,0.3173076923076923,62.121212121212125,5.636363636363637,1,180.0
76,rental_unit,Entire home/apt,4,1.0,1.0,2.0,37.96377,23.71753,within an hour,1.0,1.0,,1,4.84,32,1,1125,1,19,0,0,43,0.2873015873015873,0.2924171842650103,76,0.0,,,1,265.0
77,rental_unit,Entire home/apt,3,1.0,1.0,3.0,37.96455,23.72481,within an hour,1.0,1.0,1,1,4.85,391,1,1125,1,19,0,0,23,0.12616161616161617,0.24464285714285713,117,0.3418803418803419,43.0,6.275,1,135.0
78,rental_unit,Entire home/apt,4,1.0,1.0,,37.97619,23.73023,within an hour,1.0,1.0,1,1,4.92,343,2,30,0,21,0,0,36,0.3170454545454546,0.2851190476190476,120,0.26666666666666666,65.0625,6.5,1,240.0
79,rental_unit,Entire home/apt,8,1.5,2.0,4.0,37.96419,23.7255,,,,,1,4.9,445,1,1125,1,19,0,0,25,0.13749999999999998,0.2308614417989418,120,0.325,63.205128205128204,6.3076923076923075,1,365.0
80,rental_unit,Entire home/apt,8,2.0,3.0,4.0,37.95204,23.72404,,,0.0,0,1,4.67,75,3,30,0,-1,0,0,39,0.26142857142857145,0.20333333333333334,70,0.0,,,1,335.0
81,condo,Entire home/apt,5,1.0,2.0,4.0,37.99943,23.72058,,,0.5,0,1,5.0,6,3,1125,0,-1,0,0,31,0.019047619047619042,,92,0.010869565217391304,20.0,8.0,1,155.0
