,bin__host_is_superhost,bin__host_identity_verified,bin__instant_bookable,bin__is_luxury,bin__is_bathroom_shared,zero__average_lead_time,zero__average_booking_duration,num__accommodates,num__amenity_count,num__bathrooms,num__bedrooms,num__beds,num__conversion_rate_ltm,num__description_sentiment,num__host_acceptance_rate,num__host_response_rate,num__latitude,num__listing_views_ltm,num__longitude,num__maximum_nights,num__minimum_nights,num__neighborhood_overview_sentiment,num__number_of_reviews,num__review_scores_rating,ohe__property_type_condo,ohe__property_type_home,ohe__property_type_hotel,ohe__property_type_other,ohe__property_type_rental_unit,ohe__room_type_Entire home/apt,ohe__room_type_Hotel room,ohe__room_type_Private room,ohe__room_type_Shared room,ohe__cluster_id_-1,ohe__cluster_id_0,ohe__cluster_id_1,ohe__cluster_id_2,ohe__cluster_id_3,ohe__cluster_id_4,ohe__cluster_id_5,ohe__cluster_id_6,ohe__cluster_id_7,ohe__cluster_id_8,ohe__cluster_id_9,ohe__cluster_id_10,ohe__cluster_id_11,ohe__cluster_id_12,ohe__cluster_id_13,ohe__cluster_id_14,ohe__cluster_id_15,ohe__cluster_id_16,ohe__cluster_id_17,ohe__cluster_id_18,ohe__cluster_id_19,ohe__cluster_id_20,ohe__cluster_id_21,ord__host_response_time,price
10,1.0,1.0,0.0,0.0,0.0,61.25,9.625,4.0,58.0,1.0,1.0,3.0,0.0879120879120879,0.535,1.0,1.0,37.9758,91.0,23.71656,730.0,2.0,0.2430140692640692,172.0,4.97,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,140.0
11,1.0,1.0,0.0,0.0,0.0,52.5,6.5,3.0,43.0,1.0,1.0,2.0,0.0421052631578947,0.2253030303030302,1.0,1.0,37.99923,95.0,23.7189,60.0,3.0,0.0841836734693877,57.0,4.98,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,1.0,1.0,1.0,0.0,0.3645833333333333,0.5,1.0,37.97312,83.0,23.74912,1125.0,11.0,0.2854166666666666,114.0,4.88,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,135.0
13,0.0,1.0,0.0,0.0,0.0,21.5,6.5,6.0,42.0,2.0,2.0,3.0,0.0238095238095238,0.2393356643356643,0.91,1.0,37.96538,84.0,23.74292,90.0,3.0,0.6166666666666667,48.0,4.65,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,360.0
14,1.0,1.0,1.0,0.0,0.0,5.0,7.0,4.0,17.0,1.0,1.0,4.0,0.0121951219512195,0.525,1.0,0.86,37.99268,82.0,23.72619,1125.0,4.0,0.1477272727272727,23.0,4.43,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,95.0
15,1.0,1.0,1.0,0.0,0.0,36.05555555555556,6.333333333333333,2.0,31.0,1.0,1.0,1.0,0.18,0.2830357142857143,1.0,0.8,37.97472,100.0,23.73228,60.0,2.0,0.1759637188208616,453.0,4.85,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,125.0
16,1.0,1.0,1.0,0.0,0.0,81.75,7.6875,5.0,35.0,1.0,2.0,3.0,0.1739130434782608,0.2225757575757576,1.0,1.0,37.97739,92.0,23.7255,1125.0,5.0,0.1014204545454545,131.0,4.94,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,300.0
17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,22.0,1.0,1.0,2.0,0.0,0.3319444444444444,1.0,1.0,37.97683,91.0,23.72293,600.0,365.0,0.4254545454545454,107.0,4.58,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,105.0
18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,35.0,1.0,2.0,3.0,0.0,0.2657142857142857,1.0,1.0,37.97464,81.0,23.74885,28.0,1.0,0.1536340852130325,193.0,4.88,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,180.0
19,1.0,1.0,0.0,0.0,0.0,44.42857142857143,7.0,3.0,38.0,1.0,1.0,1.0,0.0823529411764705,-0.06,0.67,1.0,37.98119,85.0,23.75973,1125.0,4.0,0.20450779727095514,119.0,4.85,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,120.0
