level,timestamp,model,prediction,real
INFO,2026-01-13 22:13:39,base,227.2417,225.0
INFO,2026-01-13 22:13:39,base,112.3198,70.0
INFO,2026-01-13 22:13:39,base,174.5525,270.0
INFO,2026-01-13 22:13:39,base,375.2084,380.0
INFO,2026-01-13 22:13:39,advanced,183.9500,170.0
INFO,2026-01-13 22:13:39,base,204.5890,275.0
INFO,2026-01-13 22:13:39,base,30.4839,60.0
INFO,2026-01-13 22:13:39,advanced,50.1000,100.0
INFO,2026-01-13 22:13:39,advanced,244.7000,240.0
INFO,2026-01-13 22:13:39,advanced,93.3500,105.0
INFO,2026-01-13 22:13:39,base,102.0505,80.0
INFO,2026-01-13 22:13:39,advanced,252.9000,235.0
INFO,2026-01-13 22:13:39,base,401.1431,285.0
INFO,2026-01-13 22:13:39,advanced,231.5500,245.0
INFO,2026-01-13 22:13:39,advanced,204.4500,105.0
INFO,2026-01-13 22:13:39,base,268.1387,210.0
INFO,2026-01-13 22:13:39,advanced,71.4500,75.0
INFO,2026-01-13 22:13:39,base,127.4742,120.0
INFO,2026-01-13 22:13:39,advanced,139.2000,130.0
INFO,2026-01-13 22:13:39,base,121.2612,140.0
INFO,2026-01-13 22:13:39,base,144.2155,160.0
INFO,2026-01-13 22:13:39,base,371.5212,445.0
INFO,2026-01-13 22:13:39,advanced,250.8500,260.0
INFO,2026-01-13 22:13:39,advanced,66.2500,70.0
INFO,2026-01-13 22:13:39,advanced,125.4000,205.0
INFO,2026-01-13 22:13:39,advanced,121.0000,125.0
INFO,2026-01-13 22:13:39,base,41.5309,75.0
INFO,2026-01-13 22:13:39,advanced,223.6500,175.0
INFO,2026-01-13 22:13:39,base,132.8883,135.0
INFO,2026-01-13 22:13:39,advanced,107.2000,60.0
INFO,2026-01-13 22:13:39,base,165.6830,115.0
INFO,2026-01-13 22:13:39,base,174.0223,200.0
INFO,2026-01-13 22:13:39,base,211.9421,220.0
INFO,2026-01-13 22:13:39,advanced,163.0000,285.0
INFO,2026-01-13 22:13:39,base,259.4796,295.0
INFO,2026-01-13 22:13:39,base,194.3127,200.0
INFO,2026-01-13 22:13:39,advanced,127.3500,105.0
INFO,2026-01-13 22:13:39,base,185.8571,195.0
INFO,2026-01-13 22:13:39,base,120.1826,85.0
INFO,2026-01-13 22:13:39,base,80.4428,105.0
INFO,2026-01-13 22:13:39,advanced,247.6500,170.0
INFO,2026-01-13 22:13:39,advanced,68.4000,60.0
